model;identifier;name;currency;active;inception_date;closing_date;management_company;bank;provider;provider_identifier;type;logo;additional_description
security.models.Security;XAG-EUR X-RATE;XAGEUR Spot Exchange Rate - Price of 1 XAG in EUR;EUR;True;2020-01-01;;;;Bloomberg LP;XAGEUR Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""7427121""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""XAGEUR Curncy""}}}"
security.models.Security;XAU-CHF X-RATE;XAUCHF Spot Exchange Rate - Price of 1 XAU in CHF;CHF;True;2020-01-01;;;;Bloomberg LP;XAUCHF Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""207853""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""XAUCHF Curncy""}}}"
security.models.Security;XAU-EUR X-RATE;XAUEUR Spot Exchange Rate - Price of 1 XAU in EUR;EUR;True;2020-01-01;;;;Bloomberg LP;XAUEUR Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""124399""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""XAUEUR Curncy""}}}"
security.models.Security;XAU-USD X-RATE;XAUUSD Spot Exchange Rate - Price of 1 XAU in USD;USD;True;2020-01-01;;;;Bloomberg LP;XAUUSD Curncy;SECTYP_CURRENCY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""207188""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""XAUUSD Curncy""}}}"
security.models.Security;XOF-CHF Cross Rate;XOFCHF Spot Exchange Rate - Price of 1 XOF in CHF;CHF;True;2020-01-01;;;;Bloomberg LP;XOFCHF Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""6292305""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""XOFCHF Curncy""}}}"
security.models.Security;XOF-USD Cross Rate(x100);XOFUSD Spot Exchange Rate - Price of 100 XOF in USD;USD;True;2020-01-01;;;;Bloomberg LP;XOFUSD Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""6289579""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""XOFUSD Curncy""}}}"
security.models.Security;XPT-CHF X-RATE;XPTCHF Spot Exchange Rate - Price of 1 XPT in CHF;CHF;True;2020-01-01;;;;Bloomberg LP;XPTCHF Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""1092875""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""XPTCHF Curncy""}}}"
security.models.Security;XPT-EUR X-RATE;XPTEUR Spot Exchange Rate - Price of 1 XPT in EUR;EUR;True;2020-01-01;;;;Bloomberg LP;XPTEUR Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""1088264""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""XPTEUR Curncy""}}}"
security.models.Security;ZAR-CHF X-RATE;ZARCHF Spot Exchange Rate - Price of 1 ZAR in CHF;CHF;True;2020-01-01;;;;Bloomberg LP;ZARCHF Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""6629405""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""ZARCHF Curncy""}}}"
security.models.Security;ZAR-USD X-RATE;ZARUSD Spot Exchange Rate - Price of 1 ZAR in USD;ZAR;True;2020-01-01;;;;Bloomberg LP;ZARUSD Curncy;SECTYP_SECURITY;;"{""aliases"": {""FINALE"": {""additional"": ""For migration purpose"", ""value"": ""987679""}, ""BLOOMBERG"": {""additional"": """", ""value"": ""ZARUSD Curncy""}}}"
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
